Name,Symbol,Industry Group,Base Rev FY24 (Cr),End Rev FY26 (Cr),2Y CAGR (%),CAGR Status,TTM Rev (Cr),TTM vs End FY (%),Current Price (INR),Price 2Y Ago (INR),% Away,ROCE (%),Error
Castrol India,CASTROLIND.NS,Petroleum Products,5053.86,5700.32,6.2,FAIL,5850.36,2.6,184.82,237.04,-22.0,70.1,
Central Bank,CENTRALBK.NS,Banks,30849.0,36168.0,8.3,FAIL,37270.0,3.0,31.02,61.27,-49.4,5.64,
CESC,CESC.NS,Power,15293.0,18570.0,10.2,FAIL,18570.0,0.0,164.93,162.04,1.8,10.6,
CCL Products,CCL.NS,Agricultural Food & other Products,2654.0,4457.0,29.6,PASS,4602.0,3.3,1174.0,667.47,75.9,15.8,
CEAT,CEATLTD.NS,Auto Components,11943.0,15678.0,14.6,FAIL,16467.0,5.0,3464.0,2633.45,31.5,19.2,
Cemindia Project,CEMPRO.NS,Construction,5091.0,9246.0,34.8,PASS,10205.0,10.4,1358.7,508.56,167.2,32.8,
Chalet Hotels,CHALET.NS,Leisure Services,1417.0,2770.0,39.8,PASS,2387.0,-13.8,805.0,842.62,-4.5,17.1,
Chambal Fert.,CHAMBLFERT.NS,Fertilizers & Agrochemicals,17966.0,20794.0,7.6,FAIL,20794.0,0.0,445.85,499.33,-10.7,25.5,
Choice Intl.,CHOICEIN.NS,Finance,756.0,1119.0,21.7,PASS,1119.0,0.0,798.7,399.25,100.1,18.0,
Chola Financial,CHOLAHLDNG.NS,Finance,25830.0,39156.0,23.1,PASS,39156.0,0.0,1503.4,1516.07,-0.8,9.75,
CG Power & Ind,CGPOWER.NS,Electrical Equipment,8046.0,12418.0,24.2,PASS,12821.0,3.2,832.6,732.92,13.6,26.7,
Cholaman.Inv.&Fn,CHOLAFIN.NS,Finance,19163.0,31120.0,27.4,PASS,32663.0,5.0,1773.8,1413.02,25.5,9.71,
Clean Science,CLEAN.NS,Chemicals & Petrochemicals,791.0,957.0,10.0,FAIL,957.0,0.0,729.05,1606.69,-54.6,20.6,
CIE Automotive,CIEINDIA.NS,Auto Components,8753.0,8964.0,1.2,FAIL,9997.0,11.5,411.9,570.48,-27.8,14.7,
Cipla,CIPLA.NS,Pharmaceuticals & Biotechnology,25774.0,28163.0,4.5,FAIL,28324.0,0.6,1466.4,1501.05,-2.3,15.5,
City Union Bank,CUB.NS,Banks,2865.09,3864.92,16.1,PASS,3712.22,-4.0,215.48,126.83,69.9,,
Cohance Life,COHANCE.NS,Pharmaceuticals & Biotechnology,1051.0,2269.0,46.9,PASS,2269.0,0.0,425.3,997.2,-57.4,8.35,
Colgate-Palmoliv,COLPAL.NS,Personal Products,1470.0,1960.0,15.5,PASS,1960.0,0.0,2084.8,3274.58,-36.3,179.0,
Cochin Shipyard,COCHINSHIP.NS,Industrial Manufacturing,3830.0,5022.0,14.5,FAIL,5022.0,0.0,1402.1,2586.45,-45.8,16.0,
Coforge,COFORGE.NS,IT - Software,9009.0,16403.0,34.9,PASS,18195.0,10.9,1746.9,1239.65,40.9,23.5,
Coal India,COALINDIA.NS,Consumable Fuels,144762.0,168400.0,7.9,FAIL,157856.0,-6.3,417.2,459.13,-9.1,35.3,
Concord Biotech,CONCORDBIO.NS,Pharmaceuticals & Biotechnology,1017.0,1055.0,1.9,FAIL,1055.0,0.0,1330.0,1620.3,-17.9,17.1,
Container Corpn.,CONCOR.NS,Transport Services,8653.0,9079.0,2.4,FAIL,9085.0,0.1,525.15,1009.69,-48.0,12.4,
CreditAcc. Gram.,CREDITACC.NS,Finance,5167.0,6059.0,8.3,FAIL,6380.0,5.3,1614.0,1327.65,21.6,9.98,
Craftsman Auto,CRAFTSMAN.NS,Auto Components,4452.0,8069.0,34.6,PASS,8717.0,8.0,10047.0,5577.99,80.1,13.9,
Coromandel Inter,COROMANDEL.NS,Fertilizers & Agrochemicals,22058.0,31480.0,19.5,PASS,32602.0,3.6,2054.2,1642.34,25.1,22.0,
Cummins India,CUMMINSIND.NS,Industrial Products,9000.0,12143.0,16.2,PASS,12143.0,0.0,5396.0,3743.61,44.1,39.5,
CRISIL,CRISIL.NS,Finance,3140.0,3649.0,7.8,FAIL,4126.0,13.1,4406.8,4264.15,3.3,32.6,
Crompton Gr. Con,CROMPTON.NS,Consumer Durables,7313.0,8096.0,5.2,FAIL,8096.0,0.0,260.3,442.1,-41.1,18.1,
Cyient,CYIENT.NS,IT - Services,7147.0,7268.0,0.8,FAIL,7632.0,5.0,847.7,1703.9,-50.2,12.3,
Dabur India,DABUR.NS,Personal Products,12404.0,13193.0,3.1,FAIL,13552.0,2.7,426.1,614.88,-30.7,20.3,
Deepak Nitrite,DEEPAKNTR.NS,Chemicals & Petrochemicals,7682.0,7887.0,1.3,FAIL,7887.0,0.0,1643.9,3065.55,-46.4,11.4,
Dalmia BharatLtd,DALBHARAT.NS,Cement & Cement Products,14691.0,14804.0,0.4,FAIL,15058.0,1.7,1794.2,1833.12,-2.1,7.59,
DCM Shriram,DCMSHRIRAM.NS,Diversified,10922.0,13538.0,11.3,FAIL,13840.0,2.2,1055.9,1045.64,1.0,11.5,
Deepak Fertilis.,DEEPAKFERT.NS,Chemicals & Petrochemicals,8676.0,11506.0,15.2,PASS,12104.0,5.2,1532.4,916.06,67.3,11.6,
Data Pattern,DATAPATTNS.NS,Aerospace & Defense,519.8,924.77,33.4,PASS,924.77,-0.0,4462.0,3171.95,40.7,21.6,
Delhivery,DELHIVERY.NS,Transport Services,8142.0,10508.0,13.6,FAIL,10508.0,0.0,468.3,404.0,15.9,2.82,
DLF,DLF.NS,Realty,6427.0,8194.0,12.9,FAIL,8194.0,0.0,654.85,871.75,-24.9,6.32,
Divi's Lab.,DIVISLAB.NS,Pharmaceuticals & Biotechnology,7845.0,10560.0,16.0,PASS,10560.0,0.0,7835.0,4850.98,61.5,22.0,
Devyani Intl.,DEVYANI.NS,Leisure Services,3556.0,5611.0,25.6,PASS,5835.0,4.0,118.53,179.34,-33.9,4.75,
Dixon Technolog.,DIXON.NS,Consumer Durables,17691.0,48873.0,66.2,PASS,48873.0,0.0,14338.0,12096.74,18.5,42.0,
DOMS Industries,DOMS.NS,Household Products,1537.0,2326.0,23.0,PASS,2326.0,0.0,2255.0,2359.78,-4.4,24.3,
Eicher Motors,EICHERMOT.NS,Automobiles,14442.0,18870.0,14.3,FAIL,24998.0,32.5,7912.5,4845.49,63.3,30.5,
Dr Lal Pathlabs,LALPATHLAB.NS,Healthcare Services,2227.0,2763.0,11.4,FAIL,2891.0,4.6,1878.8,1515.17,24.0,28.0,
eClerx Services,ECLERX.NS,Commercial Services & Supplies,2926.0,4117.0,18.6,PASS,4117.0,0.0,1910.9,1197.06,59.6,34.8,
Dr Reddy's Labs,DRREDDY.NS,Pharmaceuticals & Biotechnology,28011.0,33700.0,9.7,FAIL,33228.0,-1.4,1144.8,1333.14,-14.1,13.0,
Emami,EMAMILTD.NS,Personal Products,3578.0,3780.0,2.8,FAIL,3780.0,0.0,403.35,785.72,-48.7,29.6,
Elgi Equipments,ELGIEQUIP.NS,Industrial Products,3218.0,3951.0,10.8,FAIL,3951.0,0.0,569.15,686.84,-17.1,22.1,
EID Parry,EIDPARRY.NS,Food Products,29413.0,38534.0,14.5,FAIL,38534.0,0.0,763.2,820.9,-7.0,17.0,
EIH,EIHOTEL.NS,Leisure Services,2511.0,2940.0,8.2,FAIL,2940.0,0.0,332.05,438.96,-24.4,20.7,
Elecon Engg.Co,ELECON.NS,Electrical Equipment,1937.0,2366.0,10.5,FAIL,2396.0,1.3,417.25,625.75,-33.3,20.9,
Emmvee Photovol.,EMMVEE.NS,Electrical Equipment,952.0,5050.0,130.3,PASS,5578.0,10.5,307.45,219.4,40.1,44.8,
Engineers India,ENGINERSIN.NS,Construction,3281.0,3928.0,9.4,FAIL,3928.0,0.0,221.98,251.97,-11.9,30.6,
Endurance Tech.,ENDURANCE.NS,Auto Components,10241.0,14596.0,19.4,PASS,14596.0,0.0,2804.3,2582.2,8.6,17.8,
ERIS Lifescience,ERIS.NS,Pharmaceuticals & Biotechnology,2009.0,3129.0,24.8,PASS,3230.0,3.2,1375.2,1120.34,22.7,14.1,
Emcure Pharma,EMCURE.NS,Pharmaceuticals & Biotechnology,6658.0,9204.0,17.6,PASS,9204.0,0.0,1910.9,1303.4,46.6,24.0,
Eternal,ETERNAL.NS,Retailing,12114.0,54364.0,111.8,PASS,67408.0,24.0,310.65,229.45,35.4,2.97,
Escorts Kubota,ESCORTS.NS,"Agricultural, Commercial & Construction Vehicles",9804.0,11540.0,8.5,FAIL,11540.0,0.0,3013.6,4070.52,-26.0,13.9,
Exide Inds.,EXIDEIND.NS,Auto Components,16770.0,17995.0,3.6,FAIL,18829.0,4.6,452.7,518.09,-12.6,8.54,
Federal Bank,FEDERALBNK.NS,Banks,23565.0,29674.0,12.2,FAIL,30385.0,2.4,354.15,199.0,78.0,6.39,
F A C T,FACT.NS,Fertilizers & Agrochemicals,6198.0,4051.0,-19.2,FAIL,5293.0,30.7,815.45,1026.17,-20.5,8.65,
Fortis Health.,FORTIS.NS,Healthcare Services,6893.0,9128.0,15.1,PASS,9128.0,0.0,948.85,500.78,89.5,13.4,
Force Motors,FORCEMOT.NS,Automobiles,6992.0,9057.0,13.8,FAIL,9200.0,1.6,17618.0,9202.37,91.5,36.1,
Five-Star Bus.Fi,FIVESTAR.NS,Finance,87.0,409.0,116.8,PASS,409.0,0.0,553.0,754.44,-26.7,17.0,
Firstsour.Solu.,FSL.NS,Commercial Services & Supplies,6336.0,9556.0,22.8,PASS,9556.0,0.0,299.62,264.66,13.2,16.8,
Finolex Cables,FINCABLES.NS,Industrial Products,5014.0,6321.0,12.3,FAIL,6321.0,0.0,973.0,1510.2,-35.6,16.0,
FSN E-Commerce,NYKAA.NS,Retailing,6386.0,10022.0,25.3,PASS,10022.0,0.0,333.75,192.99,72.9,17.2,
GAIL (India),GAIL.NS,Gas,133228.0,141598.0,3.1,FAIL,141598.0,0.0,173.64,223.88,-22.4,9.68,
G M D C,GMDCLTD.NS,Minerals & Mining,2463.0,2653.0,3.8,FAIL,2653.0,0.0,559.65,383.17,46.1,10.8,
Gabriel India,GABRIEL.NS,Auto Components,3403.0,5245.0,24.1,PASS,5165.0,-1.5,1392.0,491.63,183.1,40.4,
Gallantt Ispat L,GALLANTT.NS,Industrial Products,4227.0,4419.0,2.2,FAIL,4437.0,0.4,585.35,310.2,88.7,18.2,
General Insuranc,GICRE.NS,Insurance,45978.0,52986.0,7.4,FAIL,52986.0,0.0,356.7,407.86,-12.5,17.4,
GE Shipping Co,GESHIP.NS,Transport Services,5255.0,5409.0,1.5,FAIL,5409.0,0.0,1371.3,1312.42,4.5,15.8,
GE Vernova T&D,GVT&D.NS,Electrical Equipment,3162.41,6206.31,40.1,PASS,4020.0,-35.2,4202.3,1580.27,165.9,60.1,
Gillette India,GILLETTE.NS,Personal Products,2256.16,2633.08,8.0,FAIL,3099.53,17.7,7719.0,7531.53,2.5,61.0,
Garden Reach Sh.,GRSE.NS,Aerospace & Defense,2547.84,5070.98,41.1,PASS,7506.9,48.0,2586.2,2372.79,9.0,34.3,
Glenmark Pharma.,GLENMARK.NS,Pharmaceuticals & Biotechnology,11813.0,16983.0,19.9,PASS,16983.0,0.0,2190.3,1463.06,49.7,39.8,
GMR Airports,GMRAIRPORT.NS,Transport Infrastructure,8755.0,14807.0,30.0,PASS,14807.0,0.0,103.91,101.73,2.1,11.6,
Glaxosmi. Pharma,GLAXO.NS,Pharmaceuticals & Biotechnology,3252.0,3749.0,7.4,FAIL,3822.0,1.9,2610.7,2616.55,-0.2,61.4,
Gland Pharma,GLAND.NS,Pharmaceuticals & Biotechnology,5665.0,6431.0,6.5,FAIL,6431.0,0.0,2517.0,2100.16,19.8,15.1,
Global Health,MEDANTA.NS,Healthcare Services,3275.0,4410.0,16.0,PASS,4410.0,0.0,1416.4,1241.45,14.1,17.1,
Godrej Industrie,GODREJIND.NS,Diversified,16601.0,22237.0,15.7,PASS,22237.0,0.0,1309.4,906.75,44.4,8.17,
Godrej Consumer,GODREJCP.NS,Personal Products,14096.0,15178.0,3.8,FAIL,15178.0,0.0,1072.1,1393.37,-23.1,18.8,
Godfrey Phillips,GODFRYPHLP.NS,Cigarettes & Tobacco Products,4018.0,6391.0,26.1,PASS,6110.0,-4.4,2131.8,1371.94,55.4,32.8,
Godawari Power,GPIL.NS,Industrial Products,5445.0,5381.0,-0.6,FAIL,5381.0,0.0,249.35,222.04,12.3,20.4,
Go Digit General,GODIGIT.NS,Insurance,8665.58,10582.72,10.5,FAIL,10198.87,-3.6,254.95,350.65,-27.3,,
Gravita India,GRAVITA.NS,Minerals & Mining,3161.0,4265.0,16.2,PASS,4700.0,10.2,1578.1,1634.68,-3.5,17.0,
Grasim Inds,GRASIM.NS,Cement & Cement Products,130978.0,175431.0,15.7,PASS,175431.0,0.0,3104.8,2756.09,12.7,8.01,
Graphite India,GRAPHITE.NS,Industrial Products,2950.0,2852.0,-1.7,FAIL,2852.0,0.0,665.7,516.56,28.9,4.58,
Godrej Propert.,GODREJPROP.NS,Realty,3036.0,5131.0,30.0,PASS,5131.0,0.0,2110.9,3204.06,-34.1,7.63,
Granules India,GRANULES.NS,Pharmaceuticals & Biotechnology,4506.0,5366.0,9.1,FAIL,5632.0,5.0,833.95,626.87,33.0,15.5,
H U D C O,HUDCO.NS,Finance,7831.0,13150.0,29.6,PASS,13930.0,5.9,197.11,296.03,-33.4,8.41,
HBL Engineering,HBLENGINE.NS,Industrial Products,2233.0,3303.0,21.6,PASS,3303.0,0.0,699.3,615.78,13.6,58.4,
