Name,Symbol,Industry Group,Base Rev FY24 (Cr),End Rev FY26 (Cr),2Y CAGR (%),CAGR Status,TTM Rev (Cr),TTM vs End FY (%),Current Price (INR),Price 2Y Ago (INR),% Away,ROCE (%),Error
Infosys,INFY.NS,IT - Software,153670.0,178650.0,7.8,FAIL,184582.0,3.3,1155.1,1756.12,-34.2,40.0,
Inox Wind,INOXWIND.NS,Electrical Equipment,1746.0,4397.0,58.7,PASS,4397.0,0.0,74.98,183.62,-59.2,10.5,
Info Edg.(India),NAUKRI.NS,Retailing,2536.0,3285.0,13.8,FAIL,3285.0,0.0,1244.05,1389.95,-10.5,5.43,
Indus Towers,INDUSTOWER.NS,Telecom - Services,28601.0,32493.0,6.6,FAIL,32867.0,1.2,392.9,433.15,-9.3,19.5,
IndusInd Bank,INDUSINDBK.NS,Banks,45748.0,46251.0,0.5,FAIL,45297.0,-2.1,1011.45,1425.49,-29.0,5.68,
Inventurus Knowl,IKS.NS,IT - Services,1818.0,3194.0,32.5,PASS,3194.0,0.0,1782.3,1960.85,-9.1,36.9,
Intellect Design,INTELLECT.NS,IT - Software,2506.0,3038.0,10.1,FAIL,3038.0,0.0,705.5,954.69,-26.1,16.0,
International Gemological Instit,IGIL.NS,Commercial Services & Supplies,491.0,1053.0,46.4,PASS,1363.0,29.4,345.45,542.87,-36.4,69.2,
Interglobe Aviat,INDIGO.NS,Transport Services,68904.0,84962.0,11.0,FAIL,89050.0,4.8,5230.5,4464.66,17.2,5.24,
Ipca Labs.,IPCALAB.NS,Pharmaceuticals & Biotechnology,7662.0,9599.0,11.9,FAIL,9599.0,0.0,1758.8,1302.44,35.0,17.0,
ITI,ITI.NS,Telecom -  Equipment & Accessories,1264.0,2184.0,31.4,PASS,2184.0,0.0,273.45,309.15,-11.5,1.41,
Ircon Intl.,IRCON.NS,Construction,12514.0,9071.0,-14.9,FAIL,9071.0,0.0,125.63,280.42,-55.2,9.69,
IRB Infra.Devl.,IRB.NS,Construction,7409.0,7648.0,1.6,FAIL,7686.0,0.5,20.25,32.78,-38.2,7.48,
ITC,ITC.NS,Diversified FMCG,67932.0,78868.0,7.7,FAIL,78868.0,0.0,285.05,439.63,-35.2,38.9,
ITC Hotels,ITCHOTELS.NS,Leisure Services,2224.0,4139.0,36.4,PASS,4260.0,2.9,160.54,170.73,-6.0,11.2,
JBM Auto,JBMA.NS,Auto Components,5009.0,6088.0,10.2,FAIL,6088.0,0.0,678.45,1021.41,-33.6,14.8,
Jindal Saw,JINDALSAW.NS,Industrial Products,20958.0,17895.0,-7.6,FAIL,18263.0,2.1,254.3,318.26,-20.1,10.4,
J K Cements,JKCEMENT.NS,Cement & Cement Products,11556.0,13722.0,9.0,FAIL,14401.0,4.9,5567.0,4390.0,26.8,15.1,
Jain Resource,JAINREC.NS,Diversified Metals,4428.0,9543.0,46.8,PASS,9543.0,0.0,343.15,311.15,10.3,25.5,
J & K Bank,J&KBANK.NS,Banks,11213.0,13151.0,8.3,FAIL,13429.0,2.1,153.74,105.32,46.0,5.84,
Jindal Steel,JINDALSTEL.NS,Ferrous Metals,50354.0,53225.0,2.8,FAIL,56413.0,6.0,1093.7,984.23,11.1,9.7,
Jio Financial,JIOFIN.NS,Finance,1855.0,3513.0,37.6,PASS,4905.0,39.6,246.95,327.99,-24.7,1.86,
Jindal Stain.,JSL.NS,Ferrous Metals,38562.0,42955.0,5.5,FAIL,42955.0,0.0,737.75,734.51,0.4,19.3,
JM Financial,JMFINANCIL.NS,Finance,4787.0,4223.0,-6.1,FAIL,4223.0,0.0,121.35,100.3,21.0,11.6,
JK Tyre & Indust,JKTYRE.NS,Auto Components,15002.0,16327.0,4.3,FAIL,16327.0,0.0,397.25,436.45,-9.0,15.5,
JSW Infrast,JSWINFRA.NS,Transport Infrastructure,3763.0,5361.0,19.4,PASS,5582.0,4.1,319.05,337.07,-5.3,13.7,
JSW Energy,JSWENERGY.NS,Power,11486.0,18901.0,28.3,PASS,18965.0,0.3,543.7,722.68,-24.8,8.16,
JP Power Ven.,JPPOWER.NS,Power,6763.0,5563.0,-9.3,FAIL,5756.0,3.5,17.32,19.85,-12.7,6.97,
JSW Cement,JSWCEMENT.NS,Cement & Cement Products,6002.0,6501.0,4.1,FAIL,6501.0,0.0,131.29,145.53,-9.8,11.1,
JSW Dulux,JSWDULUX.NS,Consumer Durables,3962.0,3599.0,-4.7,FAIL,3599.0,0.0,2953.4,2730.46,8.2,22.7,
Jubilant Ingrev.,JUBLINGREA.NS,Chemicals & Petrochemicals,4136.0,4388.0,3.0,FAIL,4651.0,6.0,728.45,594.48,22.5,11.4,
Jupiter Wagons,JWL.NS,Industrial Manufacturing,3644.0,2916.0,-10.5,FAIL,2916.0,0.0,259.35,606.23,-57.2,9.16,
Jubilant Food.,JUBLFOOD.NS,Leisure Services,5655.0,9513.0,29.7,PASS,9513.0,0.0,439.8,596.06,-26.2,14.6,
JSW Steel,JSWSTEEL.NS,Ferrous Metals,175006.0,185470.0,2.9,FAIL,189687.0,2.3,1270.8,920.47,38.1,11.0,
Jubilant Pharmo,JUBLPHARMA.NS,Pharmaceuticals & Biotechnology,6703.0,8280.0,11.1,FAIL,8280.0,0.0,961.65,761.57,26.3,8.99,
