Name,BSE Code,NSE Code,ISIN Code,Industry Group
Siemens Ener.Ind,544390,ENRIN,INE1NPP01017,Electrical Equipment
SignatureGlobal,543990,SIGNATURE,INE903U01023,Realty
SJVN,533206,SJVN,INE002L01015,Power
Sobha,532784,SOBHA,INE671H01015,Realty
Solar Industries,532725,SOLARINDS,INE343H01029,Chemicals & Petrochemicals
Sona BLW Precis.,543300,SONACOMS,INE073K01018,Auto Components
Sonata Software,532221,SONATSOFTW,INE269A01021,IT - Software
SRF,503806,SRF,INE647A01010,Chemicals & Petrochemicals
Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance
Sumitomo Chemi.,542920,SUMICHEM,INE258G01013,Fertilizers & Agrochemicals
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology
Sun TV Network,532733,SUNTV,INE424H01027,Entertainment
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance
Supreme Inds.,509930,SUPREMEIND,INE195A01028,Industrial Products
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals
Suzlon Energy,532667,SUZLON,INE040H01021,Electrical Equipment
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals
Swiggy,544285,SWIGGY,INE00H001014,Retailing
Syngene Intl.,539268,SYNGENE,INE398R01022,Healthcare Services
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing
T R I L,532928,TARIL,INE763I01026,Electrical Equipment
Tata Capital,544574,TATACAP,INE976I01016,Finance
Tata Chemicals,500770,TATACHEM,INE092A01019,Chemicals & Petrochemicals
Tata Comm,500483,TATACOMM,INE151A01013,Telecom - Services
Tata Consumer,500800,TATACONSUM,INE192A01025,Agricultural Food & other Products
Tata Elxsi,500408,TATAELXSI,INE670A01012,IT - Software
Tata Inv.Corpn.,501301,TATAINVEST,INE672A01026,Finance
Tata Motors,544569,TMCV,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles"
Tata Motors PVeh,500570,TMPV,INE155A01022,Automobiles
Tata Power Co.,500400,TATAPOWER,INE245A01021,Power
Tata Steel,500470,TATASTEEL,INE081A01020,Ferrous Metals
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services
Tata Tele. Mah.,532371,TTML,INE517B01013,Telecom - Services
TBO Tek,544174,TBOTEK,INE673O01025,Leisure Services
TCS,532540,TCS,INE467B01029,IT - Software
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software
Techno Elec.Engg,542141,TECHNOE,INE285K01026,Construction
Tega Inds.,543413,TEGA,INE011K01018,Industrial Manufacturing
Tejas Networks,540595,TEJASNET,INE010J01012,Telecom -  Equipment & Accessories
Tenneco Clean,544612,TENNIND,INE19RI01016,Auto Components
The Bombay Burmah,501425,BBTC,INE050A01025,Food Products
The Ramco Cement,500260,RAMCOCEM,INE331A01037,Cement & Cement Products
Thermax,500411,THERMAX,INE152A01029,Electrical Equipment
Timken India,522113,TIMKEN,INE325A01013,Industrial Products
Titagarh Rail,532966,TITAGARH,INE615H01020,Industrial Manufacturing
Titan Company,500114,TITAN,INE280A01028,Consumer Durables
Torrent Pharma.,500420,TORNTPHARM,INE685A01028,Pharmaceuticals & Biotechnology
Torrent Power,532779,TORNTPOWER,INE813H01021,Power
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services
Trent,500251,TRENT,INE849A01020,Retailing
Trident,521064,TRIDENT,INE064C01022,Textiles & Apparels
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment
Tube Investments,540762,TIINDIA,INE974X01010,Auto Components
TVS Motor Co.,532343,TVSMOTOR,INE494B01023,Automobiles
UCO Bank,532505,UCOBANK,INE691A01018,Banks
UltraTech Cem.,532538,ULTRACEMCO,INE481G01011,Cement & Cement Products
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks
United Breweries,532478,UBL,INE686F01025,Beverages
United Spirits,532432,UNITDSPR,INE854D01024,Beverages
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components
UPL,512070,UPL,INE628A01036,Fertilizers & Agrochemicals
Urban Company,544515,URBANCO,INE0CAZ01013,Retailing
Usha Martin,517146,USHAMART,INE228A01035,Industrial Products
UTI AMC,543238,UTIAMC,INE094J01016,Capital Markets
Vardhman Textile,502986,VTL,INE825A01020,Textiles & Apparels
Varun Beverages,540180,VBL,INE200M01039,Beverages
Vedanta,500295,VEDL,INE205A01025,Diversified Metals
Vijaya Diagnost.,543350,VIJAYA,INE043W01024,Healthcare Services
Vishal Mega Mart,544307,VMM,INE01EA01019,Retailing
Vodafone Idea,532822,IDEA,INE669E01016,Telecom - Services
Voltas,500575,VOLTAS,INE226A01021,Consumer Durables
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products
Welspun Living,514162,WELSPUNLIV,INE192B01031,Textiles & Apparels
Whirlpool India,500238,WHIRLPOOL,INE716A01013,Consumer Durables
Wipro,507685,WIPRO,INE075A01022,IT - Software
Wockhardt,532300,WOCKPHARMA,INE049B01025,Pharmaceuticals & Biotechnology
Yes Bank,532648,YESBANK,INE528G01035,Banks
Zee Entertainmen,505537,ZEEL,INE256A01028,Entertainment
Zen Technologies,533339,ZENTEC,INE251B01027,Aerospace & Defense
Zensar Tech.,504067,ZENSARTECH,INE520A01027,IT - Software
ZF Commercial,533023,ZFCVINDIA,INE342J01019,Auto Components
Zydus Lifesci.,532321,ZYDUSLIFE,INE010B01027,Pharmaceuticals & Biotechnology
Zydus Wellness,531335,ZYDUSWELL,INE768C01028,Food Products
