Name,BSE Code,NSE Code,ISIN Code,Industry Group
Allied Blenders,544203,ABDL,INE552Z01027,Beverages
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components
Amber Enterp.,540902,AMBER,INE371P01015,Consumer Durables
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty
Angel One,543235,ANGELONE,INE732I01021,Capital Markets
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology
Anupam Rasayan,543275,ANURAS,INE930P01018,Chemicals & Petrochemicals
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance
Asahi India Glas,515030,ASAHIINDIA,INE439A01020,Auto Components
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles"
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables
Aster DM Health.,540975,ASTERDM,INE914M01019,Healthcare Services
Astral,532830,ASTRAL,INE006I01046,Industrial Products
Ather Energy,544397,ATHERENERG,INE0LEZ01016,Automobiles
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals
AU Small Finance,540611,AUBANK,INE949L01017,Banks
Aurobindo Pharma,524804,AUROPHARMA,INE406A01037,Pharmaceuticals & Biotechnology
Authum Invest,539177,AIIL,INE206F01022,Finance
Avenue Super.,540376,DMART,INE192R01011,Retailing
AWL Agri Busine.,543458,AWL,INE699H01024,Agricultural Food & other Products
Axis Bank,532215,AXISBANK,INE238A01034,Banks
B H E L,500103,BHEL,INE257A01026,Electrical Equipment
B P C L,500547,BPCL,INE029A01011,Petroleum Products
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance
Bajaj Holdings,500490,BAJAJHLDNG,INE118A01012,Finance
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance
Balkrishna Inds,502355,BALKRISIND,INE787D01026,Auto Components
Balrampur Chini,500038,BALRAMCHIN,INE119A01028,Agricultural Food & other Products
Bandhan Bank,541153,BANDHANBNK,INE545U01014,Banks
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks
Bank of India,532149,BANKINDIA,INE084A01016,Banks
Bank of Maha,532525,MAHABANK,INE457A01014,Banks
Bata India,500043,BATAINDIA,INE176A01028,Consumer Durables
Bayer Crop Sci.,506285,BAYERCROP,INE462A01022,Fertilizers & Agrochemicals
Belrise Industri,544405,BELRISE,INE894V01022,Auto Components
BEML Ltd,500048,BEML,INE258A01024,"Agricultural, Commercial & Construction Vehicles"
Berger Paints,509480,BERGEPAINT,INE463A01038,Consumer Durables
Bharat Dynamics,541143,BDL,INE171Z01026,Aerospace & Defense
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense
Bharat Forge,500493,BHARATFORG,INE465A01025,Auto Components
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services
Bharti Hexacom,544162,BHARTIHEXA,INE343G01021,Telecom - Services
Bikaji Foods,543653,BIKAJI,INE00E101023,Food Products
Billionbrains,544603,GROWW,INE0HOQ01053,Capital Markets
Biocon,532523,BIOCON,INE376G01013,Pharmaceuticals & Biotechnology
Birlasoft Ltd,532400,BSOFT,INE836A01035,IT - Software
BLS Internat.,540073,BLS,INE153T01027,Leisure Services
Blue Dart Expres,526612,BLUEDART,INE233B01017,Transport Services
Blue Jet Health,544009,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology
Blue Star,500067,BLUESTARCO,INE472A01039,Consumer Durables
Bosch,500530,BOSCHLTD,INE323A01026,Auto Components
Brainbees Solut.,544226,FIRSTCRY,INE02RE01045,Retailing
Brigade Enterpr.,532929,BRIGADE,INE791I01019,Realty
Britannia Inds.,500825,BRITANNIA,INE216A01030,Food Products
BSE,,BSE,INE118H01025,Capital Markets
C D S L,,CDSL,INE736A01011,Capital Markets
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products
C.E. Info System,543425,MAPMYINDIA,INE0BV301023,IT - Software
Cams Services,543232,CAMS,INE596I01020,Capital Markets
Can Fin Homes,511196,CANFINHOME,INE477A01020,Finance
Canara Bank,532483,CANBK,INE476A01022,Banks
Canara HSBC,544583,CANHLIFE,INE01TY01017,Insurance
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology
Capri Global,531595,CGCL,INE180C01042,Finance
Carborundum Uni.,513375,CARBORUNIV,INE120A01034,Industrial Products
